Source,Target,Weight
1_601,1_602,1.021520936
1_601,1_603,0.014103471
1_601,1_604,0.002636559
1_601,1_605,0.00047947
1_601,1_606,0.003082204
1_601,1_607,0.005232684
1_601,1_608,0.006339979
1_601,1_609,0.012038136
1_601,1_610,0.013307431
1_601,1_611,0.218636955
1_601,1_612,0.014214746
1_601,1_613,0.028671877
1_601,1_614,0.001307678
1_601,2_601,8.44435E-05
1_601,2_602,7.50938E-05
1_601,2_603,3.9499E-05
1_601,2_604,0.002500059
1_601,2_605,0.00436642
1_601,2_606,0.012735518
1_601,2_607,3.23856E-05
1_601,2_608,0.036192423
1_601,2_609,1.565010891
1_601,2_610,0.00605906
1_601,2_611,0.000295301
1_601,2_612,0.000705052
1_601,2_613,0.000287614
1_601,2_614,6.91149E-06
1_601,3_601,5.86906E-05
1_601,3_602,6.34755E-05
1_601,3_603,0.00069954
1_601,3_604,2.88994E-05
1_601,3_605,2.92897E-05
1_601,3_606,0.000108335
1_601,3_607,0.000384566
1_601,3_608,0.000218334
1_601,3_609,0.000719707
1_601,3_610,5.27317E-05
1_601,3_611,4.98948E-06
1_601,3_612,4.21628E-05
1_601,3_613,1.71659E-05
1_601,3_614,0.000228918
1_601,4_601,6.14049E-06
1_601,4_602,3.97693E-06
1_601,4_603,9.54655E-06
1_601,4_604,2.78155E-07
1_601,4_606,1.15549E-05
1_601,4_607,5.34854E-07
1_601,4_608,5.51307E-05
1_601,4_609,1.75672E-05
1_601,4_610,1.59174E-05
1_601,4_611,6.31552E-06
1_601,4_612,5.69177E-06
1_601,A_405,6.38047E-07
1_601,A_406,3.3766E-07
1_601,A_407,7.43613E-07
1_601,A_410,8.71214E-09
1_601,B_602,3.65254E-07
1_601,B_603,3.32909E-06
1_601,B_604,1.32241E-07
1_601,B_605,1.58218E-06
1_601,B_606,4.1418E-06
1_601,B_607,1.21628E-06
1_601,B_608,7.56027E-07
1_601,B_609,3.27142E-06
1_601,B_610,1.0925E-06
1_601,B_611,7.36613E-07
1_601,B_612,1.90398E-06
1_601,B_613,1.93064E-06
1_601,B_614,9.15891E-07
1_601,B_615,1.37352E-06
1_601,B_616,6.65021E-06
1_601,B_617,7.89744E-07
1_601,C_501,2.45251E-08
1_601,C_502,7.90945E-08
1_601,C_503,1.65128E-07
1_601,C_504,1.08469E-10
1_601,C_505,1.87095E-07
1_601,C_506,5.4739E-08
1_601,C_507,4.34151E-08
1_601,C_508,3.13527E-07
1_601,C_509,5.40346E-08
1_601,C_510,4.54361E-08
1_601,C_511,1.21173E-07
1_601,C_512,1.72228E-07
1_601,C_513,2.1161E-08
1_601,D_402,3.74284E-07
1_601,D_403,3.80927E-07
1_601,G_601,4.79598E-08
1_601,G_602,5.31955E-09
1_601,G_603,1.36314E-08
1_601,G_604,1.07117E-08
1_601,G_605,2.60184E-09
1_601,G_606,2.8456E-08
1_601,G_607,1.77906E-08
1_601,G_608,2.93735E-08
1_601,G_609,2.0226E-08
1_601,G_610,3.85174E-09
1_601,G_611,8.973E-09
1_601,G_612,9.49233E-09
1_601,G_613,8.07149E-09
1_601,G_614,4.71357E-09
1_601,N_601,2.76305E-08
1_601,N_602,3.29218E-08
1_601,N_603,3.92547E-08
1_601,N_604,9.74267E-09
1_601,N_605,9.9984E-09
1_601,N_606,6.89486E-10
1_601,N_607,8.17851E-09
1_601,N_608,2.53625E-08
1_601,N_609,8.00706E-08
1_601,N_610,3.76854E-08
1_601,N_611,2.49365E-08
1_601,N_612,1.61731E-08
1_601,N_613,7.73749E-10
1_601,N_614,1.6218E-08
1_601,R_601,4.71597E-06
1_601,R_602,7.13633E-06
1_601,R_603,1.75743E-06
1_601,R_604,1.39458E-05
1_601,R_606,2.43165E-08
1_601,R_607,1.03944E-05
1_601,R_608,2.28375E-06
1_601,R_609,1.02347E-05
1_601,R_610,4.78847E-05
1_601,R_611,9.00001E-07
1_601,R_612,1.03129E-05
1_601,R_613,5.09543E-05
1_601,R_614,1.94263E-05
1_601,R_616,1.27444E-05
1_601,S_601,1.61939E-07
1_601,S_602,7.0517E-08
1_601,S_603,4.58724E-08
1_601,S_604,4.59859E-11
1_601,S_606,2.34159E-08
1_601,S_607,4.0878E-08
1_601,S_608,5.44898E-08
1_601,S_609,4.88343E-08
1_601,S_610,4.6672E-08
