Source,Target,Weight
1_601,1_602,3.429163934
1_601,1_603,0.047344223
1_601,1_604,0.008850716
1_601,1_605,0.001070429
1_601,1_606,0.006881101
1_601,1_607,0.011682104
1_601,1_608,0.014154167
1_601,1_609,0.026875451
1_601,1_610,0.044671979
1_601,1_611,0.73394674
1_601,1_612,0.047717765
1_601,1_613,0.096249195
1_601,1_614,0.004389772
1_601,2_601,0.000188522
1_601,2_602,0.000252084
1_601,2_603,0.000132595
1_601,2_604,0.008392498
1_601,2_605,0.009748147
1_601,2_606,0.028432375
1_601,2_607,7.23018E-05
1_601,2_608,0.080800524
1_601,2_609,3.493927429
1_601,2_610,0.020339779
1_601,2_611,0.000991302
1_601,2_612,0.002366802
1_601,2_613,0.000965498
1_601,2_614,2.32013E-05
1_601,3_601,0.000131028
1_601,3_602,0.000213082
1_601,3_603,0.002348299
1_601,3_604,9.7013E-05
1_601,3_605,6.53901E-05
1_601,3_606,0.00024186
1_601,3_607,0.000858553
1_601,3_608,0.000487437
1_601,3_609,0.001606765
1_601,3_610,0.000177016
1_601,3_611,1.67493E-05
1_601,3_612,0.000141537
1_601,3_613,5.76245E-05
1_601,3_614,0.000768458
1_601,4_601,4.71691E-07
1_601,4_602,1.33503E-05
1_601,4_603,3.2047E-05
1_601,4_604,9.33743E-07
1_601,4_606,8.87605E-07
1_601,4_607,4.10856E-08
1_601,4_608,4.23496E-06
1_601,4_609,1.34945E-06
1_601,4_610,5.34335E-05
1_601,4_611,2.12007E-05
1_601,4_612,1.91068E-05
1_601,A_405,2.14187E-06
1_601,A_406,1.1335E-06
1_601,A_407,2.49625E-06
1_601,A_410,2.9246E-08
1_601,B_602,1.22613E-06
1_601,B_603,1.11755E-05
1_601,B_604,4.43923E-07
1_601,B_605,5.31125E-06
1_601,B_606,1.39037E-05
1_601,B_607,4.08295E-06
1_601,B_608,2.53792E-06
1_601,B_609,1.09819E-05
1_601,B_610,3.66744E-06
1_601,B_611,2.47275E-06
1_601,B_612,6.3915E-06
1_601,B_613,6.48101E-06
1_601,B_614,3.07457E-06
1_601,B_615,4.61079E-06
1_601,B_616,2.23242E-05
1_601,B_617,2.65111E-06
1_601,C_501,8.2329E-08
1_601,C_502,2.65514E-07
1_601,C_503,5.54323E-07
1_601,C_504,3.64123E-10
1_601,C_505,6.28061E-07
1_601,C_506,1.83754E-07
1_601,C_507,1.45741E-07
1_601,C_508,1.05249E-06
1_601,C_509,1.8139E-07
1_601,C_510,1.52525E-07
1_601,C_511,4.06767E-07
